customer_id,segment,offer_type,assigned_group,converted
C000001,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000001,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000001,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000002,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000002,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000003,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000003,Low-engagement or dormant investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000004,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000005,High-value engaged investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000006,High-value engaged investors,ISA_ALLOWANCE_REMINDER,treatment,1
C000006,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,1
C000007,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000008,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,1
C000008,Low-engagement or dormant investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000008,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000009,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000009,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,treatment,0
C000010,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000011,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,1
C000011,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000012,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,control,0
C000013,Emerging monthly investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000014,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000015,High-value engaged investors,MANAGED_SERVICE_EDUCATION,control,0
C000016,Low-engagement or dormant investors,MANAGED_SERVICE_EDUCATION,control,0
C000017,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000017,Pension builders approaching retirement,MANAGED_SERVICE_EDUCATION,treatment,0
C000017,Pension builders approaching retirement,ISA_ALLOWANCE_REMINDER,control,0
C000018,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,1
C000019,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,control,0
C000020,Emerging monthly investors,ISA_ALLOWANCE_REMINDER,treatment,0
C000021,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,1
C000021,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000022,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000023,Emerging monthly investors,MANAGED_SERVICE_EDUCATION,treatment,0
C000024,Pension builders approaching retirement,SIPP_CONTRIBUTION_REMINDER,treatment,0
C000024,Pension builders approaching retirement,CASH_TO_INVEST_EDUCATION,control,0
C000025,Low-engagement or dormant investors,CASH_TO_INVEST_EDUCATION,control,0
C000026,Cash-heavy cautious investors,MANAGED_SERVICE_EDUCATION,control,0
C000026,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,control,0
C000026,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,0
C000027,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,control,1
C000028,Cash-heavy cautious investors,CASH_TO_INVEST_EDUCATION,treatment,0
C000028,Cash-heavy cautious investors,SIPP_CONTRIBUTION_REMINDER,treatment,0
