customer_id,age,region,digital_score,risk_appetite_proxy,has_isa,has_sipp,has_gia,aum,cash_ratio,cash_balance,contribution_18m,active_days_6m,cluster,segment
C000001,37,London,0.5322544269644495,0.21605668442345735,0,0,0,22803.59,0.15792730928533844,3601.31,864.1,45.0,4,Low-engagement or dormant investors
C000002,58,East Midlands,0.3633459430627463,0.6142478923968857,0,0,0,14525.97,0.25373332464985626,3685.72,2889.81,23.0,4,Low-engagement or dormant investors
C000003,24,South East,0.21186637083784882,0.9016972359389426,1,0,1,67073.56,0.2258678175371645,15149.76,2318.33,27.0,4,Low-engagement or dormant investors
C000004,54,Scotland,0.47350853559399536,0.7699857962008319,1,1,0,113727.55,0.20657747262100756,23493.55,8337.55,20.0,2,Pension builders approaching retirement
C000005,53,North West,0.6069255318534446,0.20987929321535462,1,1,0,25128.64,0.45688265219030866,11480.84,16036.99,43.0,0,High-value engaged investors
C000006,43,Yorkshire,0.36466193820502024,0.8253312099761159,1,1,0,170441.46,0.3049297744652858,51972.68,7267.77,37.0,0,High-value engaged investors
C000007,67,Yorkshire,0.2120261091563181,0.22094429348035002,1,1,0,92619.87,0.19090242377033212,17681.36,2626.25,33.0,2,Pension builders approaching retirement
C000008,48,South East,0.39383679897826823,0.7381119901756827,1,0,1,45697.78,0.32529478158994607,14865.25,1328.62,35.0,4,Low-engagement or dormant investors
C000009,52,Yorkshire,0.4803863099473614,0.5622103811808593,0,1,0,268252.69,0.11932042417389142,32008.03,4057.6,31.0,2,Pension builders approaching retirement
C000010,37,East Midlands,0.40385199865421434,0.4277090310376846,1,0,1,149614.05,0.5664047645697416,84742.11,2721.16,19.0,1,Cash-heavy cautious investors
C000011,37,East Midlands,0.7155239986244021,0.6382909128379467,1,0,0,19107.4,0.1950438988721656,3726.78,10286.06,46.0,3,Emerging monthly investors
C000012,48,Yorkshire,0.5230902477102676,0.9283675211815627,0,0,0,33621.8,0.16620034059501487,5587.95,3791.54,46.0,3,Emerging monthly investors
C000013,34,North West,0.8080870260106853,0.8413892774584326,1,0,0,26161.65,0.3454802830695187,9038.33,1371.75,51.0,3,Emerging monthly investors
C000014,71,North West,0.31920012210653664,0.42403870298922586,0,0,0,70012.99,0.07366958425937548,5157.83,930.52,25.0,4,Low-engagement or dormant investors
C000015,26,Wales,0.7162109201687412,0.1965731395221407,1,1,0,53789.06,0.35379890889116933,19030.51,15849.99,55.0,0,High-value engaged investors
C000016,55,Scotland,0.6188184213088297,0.08146266811999851,0,0,0,40388.8,0.09522744133535024,3846.12,1836.98,33.0,4,Low-engagement or dormant investors
C000017,67,Wales,0.18615924913684792,0.7471515949906155,1,1,0,127386.45,0.06782670931493623,8640.2,3512.66,30.0,2,Pension builders approaching retirement
C000018,74,North West,0.34710398324163544,0.5395531408807587,1,1,0,63816.71,0.16389292939583697,10459.11,1863.14,39.0,2,Pension builders approaching retirement
C000019,67,Yorkshire,0.12354158361390428,0.4759164751047357,1,1,1,36096.67,0.4246364243291461,15327.96,2868.6,24.0,2,Pension builders approaching retirement
C000020,32,London,0.9553347578872491,0.3257483077782717,1,0,0,8605.38,0.5221994688991336,4493.73,11607.62,71.0,3,Emerging monthly investors
C000021,54,South East,0.5571426455231657,0.516642705580761,1,0,1,61131.92,0.42181077909914966,25786.1,3938.15,31.0,1,Cash-heavy cautious investors
C000022,42,North West,0.048814301898873175,0.24585802484156247,1,0,1,28301.14,0.5609663543330368,15875.99,2681.86,21.0,1,Cash-heavy cautious investors
